Category,2008,2009,2010,2011,2012
All,41.4,40.0,38.0,37.0,36.7
"Less than 
high 
school",26.8,25.0,23.0,23.2,23.4
"High 
school 
graduate",35.9,34.0,31.0,30.5,30.1
"Some 
college",42.5,41.0,37.0,36.7,36.5
"Bachelor's 
degree or 
more",61.5,61.0,59.0,55.0,56.7
